id,name,kind,authority,github_url,website_url
minotaur,minotaur,subnet-team,community,https://github.com/subnet112/minotaur_subnet,https://minotaursubnet.com/
mobiusfund,Mobius Fund,subnet-team,official,https://github.com/mobiusfund/investing,https://investing88.ai/
natix,NATIX,subnet-team,official,https://github.com/natixnetwork/streetvision-subnet,https://www.natix.network/
nepher-robotics,Nepher Robotics,subnet-team,official,https://github.com/nepher-ai/nepher-subnet,https://nepher.ai
niome,NIOME,subnet-team,community,https://github.com/genomesio/subnet-niome,https://niome.genomes.io/
nodexo,Nodexo,subnet-team,provider-claimed,,https://nodexo.ai/
nodies,Nodies,infrastructure-provider,provider-claimed,,https://nodies.app
nova,NOVA,subnet-team,community,https://github.com/metanova-labs/nova,https://www.metanova-labs.ai/
numinous,Numinous,subnet-team,official,https://github.com/numinouslabs/numinous,https://numinouslabs.io/
one-covenant,One Covenant,subnet-team,provider-claimed,https://github.com/one-covenant,https://www.tplr.ai/
oneoneone,oneoneone,subnet-team,official,https://github.com/oneoneone-io/subnet-111,https://oneoneone.io/
onfinality,OnFinality,infrastructure-provider,provider-claimed,,https://onfinality.io
opentensor,OpenTensor,infrastructure-provider,official,,https://bittensor.com
oro,ORO,subnet-team,official,https://github.com/ORO-AI/oro,https://oroagents.com/
oxmarkets,OxMarkets,subnet-team,community,https://github.com/General-Tao-Ventures/cartha-validator,https://www.0xmarkets.io/
perturb,Perturb,subnet-team,community,https://github.com/0xsigurd/Perturb,https://www.perturbai.io/
platform-network,Platform Network,subnet-team,official,https://github.com/PlatformNetwork/platform,https://www.platform.network/
poker44,Poker44,subnet-team,community,https://github.com/Poker44/Poker44-subnet,https://poker44.net/
qbittensor-labs,qBittensor Labs,subnet-team,official,https://github.com/qbittensor-labs/quantum-compute,https://www.qbittensorlabs.com/
readyai,ReadyAI,subnet-team,official,https://github.com/afterpartyai/bittensor-conversation-genome-project,https://readyai.ai/
redteam,RedTeam,subnet-team,official,https://github.com/RedTeamSubnet/RedTeam,https://www.theredteam.io/
ridges,Ridges,subnet-team,official,https://github.com/ridgesai/ridges,https://www.ridges.ai/
score,Score,subnet-team,community,https://github.com/score-technologies/turbovision,https://www.wearescore.com/
shiftlayer,Shiftlayer,subnet-team,provider-claimed,https://github.com/shiftlayer-llc/brainplay-subnet,https://play.shiftlayer.ai/
signalplus,SignalPlus,subnet-team,provider-claimed,,https://www.signalplus.com/
silx-labs,SILX Labs,subnet-team,official,https://github.com/SILX-LABS/QUASAR-SUBNET,https://silxinc.com/
soma,SOMA,subnet-team,official,https://github.com/DendriteHQ/SOMA,https://thesoma.ai/
sparket,Sparket,subnet-team,official,https://github.com/sparket-ai/sparket-ai,https://sparket.ai/
subnetradar,SubnetRadar,data-provider,provider-claimed,,https://subnetradar.com/
sundae-bar,Sundae Bar,subnet-team,official,https://github.com/sundae-bar/bittensor-subnet,https://www.sundaebar.ai/
swarm,Swarm,subnet-team,community,https://github.com/swarm-subnet/swarm,https://www.swarm124.com/
synth,Synth,subnet-team,community,https://github.com/mode-network/synth-subnet,https://synthdata.co/
talisman-ai,Talisman AI,subnet-team,official,https://github.com/Team-Rizzo/talisman-ai,https://ai.talisman.xyz/
talkhead,TalkHead,subnet-team,community,https://github.com/talkheadai/talkhead-subnet,https://www.talkhead.ai/
tao-colosseum,TAO Colosseum,subnet-team,official,https://github.com/TAO-Colosseum/tao-colosseum-subnet,https://github.com/TAO-Colosseum/tao-colosseum-subnet
tao-private-network,TAO Private Network,subnet-team,community,https://github.com/taofu-labs/tpn-subnet,https://tpn.taofu.xyz/
taofi,TaoFi,subnet-team,official,https://github.com/Swap-Subnet/swap-subnet,https://www.taofi.com/pool
taolend,TaoLend,subnet-team,provider-claimed,,https://taolend.io/
taomarketcap,TaoMarketCap,data-provider,provider-claimed,,https://taomarketcap.com
taopedia-articles,Taopedia Articles,docs-provider,community,,https://github.com/e35ventura/taopedia-articles
taos-im,TAOS IM,subnet-team,official,https://github.com/taos-im/sn-79,https://taos.im/
taostats,Taostats,data-provider,provider-claimed,,https://taostats.io
targon,Targon,subnet-team,official,https://github.com/manifold-inc/targon,https://targon.com/
tensorclaw,Tensorclaw,subnet-team,provider-claimed,,https://www.tensorclaw.ai/
tensorplex,Tensorplex,subnet-team,official,https://github.com/tensorplex-labs/dojo,https://www.tensorplex.ai/
tensorplex-subnet-docs,Tensorplex subnet-docs,docs-provider,community,,https://github.com/tensorplex-labs/subnet-docs
tensorusd,TensorUSD,subnet-team,official,https://github.com/TensorUSD/subnet,https://tensorusd.com/
trajectoryrl,TrajectoryRL,subnet-team,official,https://github.com/trajectoryRL/trajectoryRL,https://trajrl.com/
trishool,Trishool,subnet-team,official,https://github.com/TrishoolAI/trishool-phase2,https://trishool.ai/
unarbos,Unarbos,subnet-team,official,https://github.com/unarbos/tau,https://ninja.arbos.life/
vanta,Vanta Network,subnet-team,official,https://github.com/taoshidev/vanta-network,https://www.vantanetwork.io/
vectorchat,VectorChat,subnet-team,provider-claimed,,https://subnet.chunking.com/
verathos,Verathos,subnet-team,official,https://github.com/verathos-ai/verathos,https://verathos.ai/
vidaio,Vidaio,subnet-team,official,https://github.com/vidaio-subnet/vidaio-subnet,https://vidaio.io/
vocence,Vocence,subnet-team,community,https://github.com/vocence-78/vocence,https://www.vocence.ai/
zeus,Zeus,subnet-team,community,https://github.com/Orpheus-AI/Zeus,https://www.zeussubnet.com/
zipcode,Zipcode,subnet-team,community,https://github.com/resi-labs-ai/RESI-models,https://zipcode.ai/
